track_id,est_bpm,brightness,energy_rms,percussiveness
227877491,123.05,1470.46,0.28458,0.04365
86802891,123.05,1553.81,0.22285,0.04422
57438430,123.05,1806.92,0.31003,0.04241
228026068,123.05,1218.47,0.22295,0.03563
39257969,123.05,2977.82,0.28146,0.11567
5614846,95.7,2458.01,0.21272,0.08133
61618185,123.05,1932.9,0.17987,0.06969
261396742,123.05,2443.42,0.26403,0.09507
133821608,117.45,2387.53,0.20221,0.09349
262100380,117.45,2804.4,0.22631,0.12961
132288223,123.05,2168.53,0.09845,0.07856
82007290,117.45,2499.13,0.14956,0.12412
248717782,123.05,2559.55,0.27416,0.09575
193094566,123.05,2536.26,0.37148,0.0835
242169392,117.45,2026.79,0.32693,0.06224
96866503,123.05,2585.64,0.17132,0.12819
183835391,123.05,1006.63,0.27467,0.02935
238419492,117.45,1591.7,0.26895,0.05295
209790876,123.05,2823.98,0.27823,0.12859
74355957,123.05,2467.66,0.2918,0.10018
262726804,117.45,1787.83,0.26019,0.06061
22636983,117.45,2290.54,0.24909,0.07323
58368942,123.05,2915.61,0.14859,0.11987
123249684,123.05,2534.76,0.20016,0.09337
155680241,123.05,1545.76,0.31862,0.04251
38082348,123.05,2196.82,0.26752,0.09916
181638710,123.05,2077.63,0.19773,0.06633
18688777,117.45,1879.44,0.21163,0.05693
178066786,123.05,2416.53,0.29454,0.0754
86802218,123.05,1784.59,0.27701,0.06253
21103108,117.45,2026.79,0.32693,0.06224
162590116,123.05,2600.33,0.27578,0.1045
148839794,117.45,1473.17,0.23214,0.0655
40948116,123.05,2682.44,0.2533,0.12618
17464117,123.05,2090.56,0.21015,0.08844
20330612,123.05,2117.45,0.24134,0.09608
52528515,123.05,1946.01,0.18212,0.07849
240462196,117.45,1894.88,0.191,0.06027
183789307,123.05,3075.93,0.20969,0.1567
222697831,123.05,2472.57,0.23779,0.09209
209576427,123.05,2869.16,0.17275,0.14906
66338611,123.05,1849.91,0.22213,0.06161
171469258,123.05,2993.68,0.26072,0.12788
85688139,123.05,2632.29,0.26068,0.09341
162026590,123.05,2437.17,0.23771,0.09708
195880651,123.05,2346.35,0.28874,0.07444
197447241,123.05,2928.35,0.21026,0.1153
149964348,117.45,3194.34,0.22214,0.13432
4047777,129.2,2936.57,0.28325,0.10265
240669925,123.05,2611.08,0.30537,0.10154
74380987,123.05,2039.19,0.26416,0.07063
60691516,123.05,2568.56,0.19439,0.10096
178428309,123.05,3005.01,0.28006,0.13492
222472754,117.45,1711.69,0.21822,0.05079
6516300,123.05,2063.38,0.27146,0.06336
70644301,123.05,2200.0,0.25435,0.07892
27973912,123.05,1921.78,0.18226,0.07773
255834919,112.35,1394.1,0.22086,0.03235
88101130,117.45,1619.65,0.22439,0.05026
199321398,117.45,2305.5,0.35115,0.0656
114675163,117.45,2960.47,0.22837,0.09913
241184199,117.45,1521.81,0.24477,0.05879
101723539,117.45,1691.92,0.2635,0.05337
12916837,117.45,2053.93,0.23237,0.08297
62739347,117.45,1199.31,0.26905,0.04188
185426388,117.45,1214.36,0.17411,0.04732
261090404,117.45,2605.42,0.23142,0.08022
31464741,117.45,1739.99,0.09082,0.05984
111367819,117.45,1842.71,0.27223,0.04705
105408946,117.45,2052.85,0.28883,0.067
153470829,117.45,2251.46,0.27227,0.06634
167292578,117.45,1887.29,0.20352,0.06169
112912630,117.45,1125.2,0.20148,0.04082
120167130,129.2,2905.64,0.21787,0.14297
215325599,123.05,2589.03,0.25667,0.11636
248660266,129.2,2087.36,0.15475,0.09176
66510959,123.05,2485.63,0.27646,0.08361
117920739,129.2,2581.81,0.26845,0.09855
267812309,123.05,2788.42,0.33481,0.1066
27478423,129.2,2414.88,0.24422,0.08373
126075061,129.2,2511.21,0.30545,0.09314
113930165,136.0,2676.38,0.2737,0.07978
214222390,123.05,1592.71,0.20322,0.06965
73401446,117.45,1973.82,0.24262,0.07573
186242299,123.05,2327.22,0.39303,0.08291
85175081,123.05,3063.48,0.32584,0.13821
102138808,129.2,1864.37,0.26858,0.07858
13077428,123.05,3123.16,0.29922,0.12926
7107296,123.05,3036.2,0.28221,0.15534
66540974,95.7,2824.51,0.26037,0.10968
245682198,117.45,2871.05,0.26287,0.10985
253159763,123.05,3364.73,0.25643,0.1588
191782966,117.45,1671.96,0.16864,0.04858
74319095,136.0,2379.77,0.33338,0.08563
262429416,123.05,2219.78,0.21579,0.07798
171389140,123.05,1938.47,0.17843,0.06804
56682265,112.35,2559.12,0.33458,0.09482
184461067,123.05,1486.5,0.24893,0.04955
42406512,123.05,2667.78,0.28277,0.09763
72255284,123.05,1993.4,0.24268,0.06848
12732858,123.05,2289.47,0.25788,0.08137
9911299,117.45,2810.79,0.22033,0.0915
18628011,123.05,2616.31,0.17671,0.13645
206218750,123.05,3115.09,0.32124,0.12999
239793084,112.35,2146.85,0.15969,0.08084
243441585,123.05,2190.71,0.26913,0.06589
164445176,117.45,1893.34,0.22629,0.04726
83327200,117.45,1513.31,0.24285,0.04439
116608578,123.05,1450.13,0.24248,0.04948
90407562,117.45,1340.34,0.18333,0.04547
254210722,129.2,2273.03,0.30271,0.07032
156902075,123.05,2582.35,0.23365,0.09488
150482852,117.45,2156.39,0.20654,0.08262
152040221,123.05,3142.17,0.27547,0.13825
204923691,123.05,3054.19,0.30849,0.12866
240855031,83.35,1888.61,0.37897,0.04686
49473629,123.05,2248.7,0.29215,0.08482
25341904,136.0,2212.18,0.25164,0.06829
239968025,123.05,1994.99,0.26683,0.07681
184240423,129.2,1923.76,0.29909,0.07484
166371436,123.05,1606.75,0.34533,0.04022
